"Origin","Cocoa.Percent","Ingredients","Characteristics","Rating"
"Bolivia","70%",3,"sandy, dried fruit, earthy",3
"Dominican Republic","70%",3,"slightly bitter, earthy, fruity",3
"Tanzania","70%",3,"raisins, grapes, tart",3.25
"Dominican Republic","76%",3,"molasses, banana, chemical",2.5
"Peru","82%",3,"dry, red berry, off note",2.75
"Haiti","71%",3,"sweet, spoiled milk, vegetal",2.75
"Guatemala","76%",3,"tart with woody undertones",3
"Ghana","66%",3,"extra sweet, nutty, deep cocoa",3
"Costa Rica","82%",2,"bright red fruit,smoke,powerful",3.75
"Peru","70%",2,"grassy, earthy",2.75
"Costa Rica","70%",2,"fudgey, mild smoke",3
"Costa Rica","70%",2,"grass,chewy,nibs add bitterness",3.5
"Brazil","70%",2,"mint, candied",3.5
"Venezuela","70%",2,"mildy nutty, cocoa, spice",3.75
"Dominican Republic","70%",2,"dense, rich, nuanced",3.75
"Colombia","70%",2,"marshmallow, distinquished",4
"Uganda","75%",2,"light cocoa, dairy,faint cinnamon",3.75
"Peru","70%",2,"anise, cocoa, dried fruit",3.75
"Vanuatu","75%",4,"smoke dominates, mild fruit",3
"Cuba","75%",4,"earthy, tobacco, mushroom",3
"Blend","75%",4,"sandy, roasty, cocoa",3
"Brazil","75%",4,"creamy, fatty, burnt",3
"Blend","75%",4,"tart, fruit, cocoa",3.5
"Jamaica","75%",4,"creamy, spicy",3.75
"Ecuador","80%",4,"vegetal, fruit, smoke",3.75
"Sao Tome","75%",4,"large nibs, spicy, cocoa",4
"Dominican Republic","75%",4,"sandy, sour",2
"Madagascar","100%",2,"fatty, mild fruit, bitter, smoke",3
"Brazil","75%",4,"complex, herbal, sour",3.5
"Venezuela","75%",4,"creamy, burnt,ashey, lemon",2
"Venezuela","75%",4,"nutty, red berry, rich",3.5
"Venezuela","75%",4,"burnt nuts, subtle fruit",3.25
"Peru","75%",3,"subdued, floral, nutty, fatty",3.25
"Papua New Guinea","75%",4,"complex, smoke, intense, ham",3
"Indonesia","75%",4,"fruit, woody, ashey, fatty",3
"Venezuela","75%",4,"roasty, black licorice, rubbery",3
"Madagascar","75%",4,"high acidity,roasty,sour,chalky",3
"Colombia","75%",4,"sandy, coffee, sweet, roasty",3
"Trinidad","75%",4,"tobacco,deep cocoa, sl. burnt",3.25
"Ghana","75%",4,"rich cocoa, fatty, roasty",3.25
"Sao Tome & Principe","75%",4,"deep cocoa, fatty, mild ashey",3.5
"Tanzania","75%",4,"spicy, cocoa",3.5
"Ecuador","75%",4,"dried fruit, floral",3.5
"Tanzania","75%",2,"sour palm, rich cocoa, fruit",3.25
"Peru","75%",2,"molasses, coffee, cocoa",3.25
"Vietnam","70%",2,"fruit, tart, fertilzer",2.75
"Venezuela","75%",3,"nutty, fuel, intense",2.75
"Ecuador","85%",3,"floral, slightly burnt, intense",2.75
"Ecuador","75%",3,"perfume, roasted caramel",3
"Madagascar","72%",3,"long, mellow, buttery",3.25
"Honduras","80%",3,"chunky, earthy, rubber",2.75
"Grenada","70%",3,"dark berry, mild floral",3.5
"Madagascar","74%",3,"dairy, butterscotch, caramel",3.5
"Ecuador","77%",3,"floral, grain, deep cocoa",3.5
"Jamaica","75%",2,"sticky, mild, hay, honey",3.75
"Solomon Islands","72%",3,"dominant savory",3.25
"Jamaica","76%",3,"rum, hazelnut, bold, unique",3.25
"Venezuela","73%",4,"fatty, vanilla, orange",2.75
"Ecuador","73%",4,"few grits, strong floral",3.25
"Papua New Guinea","75%",4,"intense smoke",3.25
"Vietnam","75%",4,"intense, fig, roasty, citrus",3.5
"Philippines","66%",4,"spice, sunflower",3.5
"Dominican Republic","65%",4,"peanut, soy, sunflower",3.75
"Brazil","60%",3,"sweet, intense banana",3
"Brazil","65%",3,"muted, banana, hot cocoa",3.25
"Brazil","55%",3,"creamy, too sweet, sour",2.75
"Brazil","75%",3,"sticky, intense, roasty, fruit",3.25
"Brazil","80%",3,"tannic, fruity, cocoa",3.25
"Brazil","85%",3,"mild bitter, banana, citrus",3.5
"Peru","70%",3,"pungent, grapes",3
"Peru","70%",3,"bold, nutty, floral, wine",3.75
"Peru","70%",3,"intense plum, harsh woody",3.5
"Peru","70%",3,"grapes and honey",4
"Peru","70%",3,"bold, fig w/ floral undertone",3.75
"Mexico","70%",3,"gritty, waxy, leather",2.75
"Mexico","74%",3,"waxy, gritty, spicy, hammy",3
"Dominican Republic","85%",3,"creamy, pasty, bitter, cocoa",3.5
"Madagascar","75%",3,"gritty, sticky, candied",3.25
"Congo","75%",3,"refined, honey, rubber",2.75
"Peru","70%",3,"pungent, green, citrus",3
"Haiti","70%",3,"green",3.25
"Haiti","70%",3,"basic cocoa",3.5
"Guatemala","70%",5,"Easter candy, burnt",2.75
"Ecuador","75%",NA,"slightly dry and super spicey",3
"Peru","70%",2,"oily, intense vinegar",2.5
"Peru","80%",2,"fruity, melon",3.25
"Peru","73%",2,"dried fruit, raisins, nutty",3.5
"Mexico","70%",2,"fruit, yogurt, astringent",3.25
"Peru","75%",3,"fatty, cocoa",3.25
"Ecuador","72%",3,"floral, malt, high astringcy",3.5
"Tanzania","72%",3,"creamy, complex, maple",3.75
"Peru","72%",3,"dominant spice",3.75
"Dominican Republic","72%",3,"floral, roasted cacao, dirty",3.5
"Nicaragua","72%",3,"grassy, earthy, roasty, dirty",3.5
"Ghana","72%",3,"gateway, nutty, rich cocoa",3.5
"Peru","70%",NA,"smooth, green, vegetal",2.5
"Ecuador","75%",4,"cinamon, hazelnut, roasty",3
"Ecuador","67%",4,"creamy, caramel, dairy",3.5
"Ecuador","75%",4,"vanilla, dark roast, spicy",3.75
"Ecuador","75%",4,"strong rubber, off chemical",2.5
"Ecuador","75%",4,"strong spicey, earthy green",3.25
"Costa Rica","75%",2,"dark berry, woody,astringent",3.5
"Ecuador","75%",2,"dried fruit, nut, bitter, roasty",3.25
"Trinidad","75%",2,"orange, heavy roast",3.5
"Madagascar","75%",2,"dark berry, tropical, nutty",4
"Peru","75%",2,"intense, roasty, spice",3
"Belize","75%",2,"thick, slow, pure",3.75
"Ecuador","85%",2,"mild bitter, woody, bourbon",3.5
"Blend","70%",2,"sticky, woody",3.5
"Ecuador","75%",2,"floral, bourbon, balanced",3.75
"Mexico","75%",3,"smooth, coffee, rich cocoa",3.75
"Nicaragua","70%",2,"complex, honey, fruit, nut",3.5
"Trinidad","80%",2,"rich brownie, dried fruit",3.5
"Madagascar","75%",3,"tart fruit, roasty",3.5
"Brazil","72%",3,"floral, spice, strong mint",3
"Tanzania","72%",3,"muted, heavy roast",3
"Fiji","70%",3,"fatty, rubbery, nutty",2.5
"Peru","70%",3,"fatty, rubbery, off",2.5
"Costa Rica","70%",2,"dried fruit, intense",3.25
"Costa Rica","70%",2,"fatty, honey, slight sour",3.25
"Costa Rica","70%",2,"roasty, coffee, intense",3.25
"Madagascar","75%",5,"rich cocoa, nutty",3.25
"Madagascar","68%",4,"basic cocoa, large nibs",3.25
"Grenada","66%",NA,"earthy, mild nutty",3.5
"Dominican Republic","70%",2,"nutty, earthy, mild off note",2.75
"Jamaica","70%",2,"sandy, heavy roast, woody",2.75
"Madagascar","70%",2,"raisins, sour, roasty",3
"Trinidad","70%",2,"dry, honey, roasty",3
"Venezuela","70%",2,"mint, sweet spices",3.5
"Peru","75%",2,"smooth,intense,fruit, complex",3.75
"Bolivia","75%",2,"rich brownie, roasty, sour",3
"Ecuador","75%",2,"floral, bourbon, mocha",3.75
"Madagascar","70%",2,"creamy, heavy roast, citrus",3.5
"Dominican Republic","70%",2,"sticky, earthy, smokey",3.5
"Jamaica","75%",2,"intense, dark berry, spice",3.75
"Bolivia","75%",2,"smooth, banana, tart, roasty",4
"Venezuela","80%",2,"red fruit, intense, earthy",3.75
"Bolivia","75%",2,"roasty, dried fruit, sour",3.25
"Venezuela","70%",2,"deep, rich, nutty, roasty",3.75
"Honduras","75%",2,"robust, tart, roasty",3.75
"Venezuela","71%",3,"intense, burnt, chemical",2.5
"Principe","77%",3,"smokey, nutty, fat residue",2.75
"Venezuela","73%",3,"fatty, roasty, coffee",3.5
"Venezuela","70%",3,"uneven melt, cashew",3.5
"Venezuela","76%",3,"fatty, burnt, nut, vegetal",2.25
"Venezuela","84%",3,"fatty, chemical, roasty",2.5
"Madagascar","72%",3,"buttery, sour tang, off notes",2.5
"Venezuela","73%",3,"nuts, chocolate, mellow",3.75
"Peru","72%",3,"blackberry, mild floral",3.75
"Honduras","72%",3,"off note, vegetal, nibby",2.75
"Haiti","75%",3,"cocoa base, spice",3
"Nicaragua","70%",3,"complex, coarse, astringent",3.5
"Indonesia","77%",2,"mild smoke, tart, spice, harsh",2.75
"Tanzania","72%",2,"clean, pure cocoa, cherry, gritty",3.5
"Grenada","73%",2,"even flavor, prune, molasses",3.25
"Blend","100%",NA,"sticky, intense, very bitter",1.5
"Dominican Republic","70%",NA,"fudgey, astringent, sour",3
"Madagascar","64%",NA,"sandy, subtle fruit then cocoa",3.5
"Blend","72%",NA,"fatty, cocoa, nutty",3.5
"Blend","72%",NA,"sandy, sweet, spice",3.5
"Blend","83%",4,"grassy, strong bitter",2.75
"Blend","69%",4,"grassy, maple",3.25
"Brazil","70%",4,"creamy, vanilla, rich",3.5
"Ecuador","70%",4,"nutty, spicy, floral",3.5
"Venezuela","70%",4,"nutty, basic cocoa",3.5
"Ecuador","70%",4,"floral, spicey",3.5
"Ecuador","70%",4,"few grits, basic, gateway",3.25
"Colombia","53%",5,"too sweet, candy-like",2
"Colombia","65%",5,"sweet, cherry, marshmallow",3
"Colombia","70%",5,"rustic, cherry, marshmallow",3.75
"Colombia","75%",3,"roasty,rich cocoa,marshmallow",2.75
"Colombia","70%",5,"sweet, marshmallow",3
"Sao Tome","70%",5,"perfume, vanilla",2.75
"Blend","82%",5,"dry, bitter, poor aftertaste",2
"Blend","68%",5,"fruity, smokey, burnt",2
"Jamaica","70%",5,"fresh nibs,chocolate base off",2
"Blend","62%",5,"tobacco, sweet, dairy",3
"Blend","70%",5,"cherry, mild bitter",3.5
"Blend","72%",5,"strong smokey tobacco",3
"Blend","62%",5,"sweet, base cocoa",3
"Blend","75%",5,"smooth,complex,cocoa base",3
"Venezuela","75%",5,"complex, strawberry, tart",3.75
"Blend","72%",5,"grassy, black pepper, smoke",3
"Brazil","68%",5,"smooth, tart, earthy",3.75
"Vietnam","72%",5,"creamy, grassy, banana, tart",3.75
"Ghana","65%",5,"simple, delicate cocoa, long",4
"Grenada","68%",5,"smooth, grassy, minty",3.5
"Madagascar","65%",5,"clingy,subtle, tangy, citrus",3.75
"Papua New Guinea","68%",5,"cherry,wine,rich,smoke",3.75
"Peru","78%",4,"banana, pear, spice, cheese",4
"Dominican Republic","72%",3,"bold, molasses, tobacco, plant",3.5
"Tanzania","72%",3,"rich, cherry, fig, chocolatey",3.5
"Dominican Republic","70%",2,"rustic, vegetal, earthy",2.75
"Grenada","70%",2,"off, sweet, orange, rubber",2.75
"Honduras","70%",2,"dry, earthy, surface mark",2.75
"Dominican Republic","70%",2,"earthy, mild fruit, sticky",3
"Tanzania","70%",2,"sticky, cherry, cocoa",3.25
"Fiji","70%",2,"sharp, raw, metallic",2.75
"Uganda","70%",2,"cocoa, roasty, sticky",3.5
"Trinidad","75%",2,"sl roasty, woody, melon, spicy",3.25
"Peru","70%",2,"orange, fig, cocoa",3.5
"Vietnam","70%",2,"blueberry & cocoa dominate",3.5
"India","70%",2,"sticky, dark berry, roasty edge",3.5
"Guatemala","70%",3,"spicy, rich cocoa, sweet",3
"Colombia","70%",3,"black pepper, astringent",3
"Belize","70%",3,"full cocoa flavor",3.5
"Blend","68.50%",3,"vanilla, candy-like, cocoa, acidic",3
"Ecuador","75%",2,"coffee, nutty",3
"Belize","72%",2,"fruity, blueberry",3.25
"Venezuela","77%",2,"smoked ham, tangy, berry",2.75
"Jamaica","72%",2,"sticky, dried fruit, smoke",3.25
"Papua New Guinea","73%",2,"chewy, smoke, fruit, cocoa",3.5
"Dominican Republic","74%",2,"grapes, tangy, cocoa",3.5
"U.S.A.","73%",4,"sticky, earthy, medicinal",2
"U.S.A.","73%",4,"perfume, floral, chemical",2.5
"Peru","75%",3,"strong spice, perfume, roasty",3.5
"Peru","70%",3,"earthy, roasty, vegetal",3.25
"Costa Rica","82%",3,"gritty, fatty, coffee",3.25
"Costa Rica","70%",3,"gritty, bold, black pepper",3.5
"Peru","70%",NA,"sandy, sweet, vanilla",2.5
"Colombia","72%",3,"brownie, mocha, marshmallow",3.5
"Belize","67%",4,"fatty, cocoa, spicy",3
"Colombia","68%",4,"fatty, salty, caramel",3
"Sao Tome","65%",4,"nutty, salty",3.25
"Brazil","60%",4,"fatty, sweet, salty",3.25
"Madagascar","67%",3,"tart, sweet edge",3.75
"Madagascar","73%",3,"intense fruity, mild sour",3.75
"Ecuador","73%",3,"intense, rich, burnt, licorice",3.75
"Madagascar","100%",1,"creamy, tart, bitter",3
"Ecuador","100%",1,"floral, bourbon, bitter",3
"Guatemala","73%",2,"waxy, earthy, cocoa, roasty",3
"Guatemala","73%",2,"waxy, maple, flat",3.25
"Haiti","73%",2,"oily, medium roasted cocoa",3.25
"Bolivia","73%",2,"sticky, raisins, fudgey",3.5
"Tanzania","73%",2,"basic cocoa, gateway",3.5
"Ecuador","73%",2,"rich cocoa, spicy",3.75
"Peru","73%",2,"caramel, anise, dried fruit",3.75
"Mexico","73%",3,"bland, sour, lacks development",3
"India","73%",3,"butterscotch, slight burnt note",3.25
"Ghana","70%",4,"sweet, vanilla, cocoa, mold",2.75
"Nicaragua","72%",3,"mild, nutty, vanilla, cocoa",3
"Honduras","70%",2,"grassy, earthy, tannic, intense",3
"Dominican Republic","70%",2,"fruity, strong cocoa, sweet",3.5
"Bolivia","72%",3,"floral, intense, pungent",2.75
"Peru","67%",3,"light brown, grits, floral",3
"Madagascar","65%",3,"few grits, sweet, orange",3.25
"Madagascar","70%",3,"few grits, bold, dark berry",3.5
"Papua New Guinea","65%",3,"smokey, tart, astringent",3.5
"Tanzania","67%",3,"bold cherry, rich cooa",3.75
"Trinidad","70%",3,"cigar, tobacco, grass, spice",3.75
"Venezuela","70%",3,"mild cacao and fruit notes",3.75
"Ecuador","72%",3,"creamy, pistachio, floral",4
"Vietnam","70%",3,"creamy, molasses, off note",3
"Guatemala","70%",3,"gummy, fatty, earthy",3.25
"Venezuela","70%",3,"creamy, fruit, cocoa",3.75
"Belize","70%",3,"apple, mild cherry",3.75
"Australia","67%",3,"delicate, smooth, dairy",3.75
"Ecuador","70%",3,"ligt color, creamy, peanut",4
"Dominican Republic","70%",3,"cherry, rich choco",3.5
"Haiti","70%",3,"complex, earthy, melon",3.5
"Madagascar","68%",3,"mild cocoa, fruity",3
"Ecuador","68%",3,"fudgey then spicy, vanilla",3.25
"Ghana","67%",3,"perfume, strong chemical",1.5
"Sulawesi","66%",3,"nuts, fruit, cocoa",3.25
"India","70%",3,"grassy, hammy",2.75
"Madagascar","72%",2,"tangy, sour, intense",3
"Ecuador","70%",2,"intense, simple, floral, earthy",3.5
"Dominican Republic","85%",2,"sticky, hammy, bitter",2.75
"Peru","68%",2,"sticky, sandy, pungent",2.75
"Philippines","70%",3,"intense, dirty,floral,medicinal",2.5
"Solomon Islands","70%",2,"sweet, roasty, spicy",3.25
"Solomon Islands","75%",2,"spicy, roasted, fresh nibs",3.25
"Madagascar","70%",2,"dry, molasses, sour",3
"Venezuela","70%",2,"dairy, cheese, molasses",3
"Bolivia","70%",2,"intense, leathery, cocoa",3.25
"Peru","70%",3,"molasses, grape, sour",3.25
"Blend","70%",3,"creamy, nutty, cocoa",3.5
"Uganda","70%",3,"molasses, licorice, muted",3
"Tanzania","70%",3,"sticky, strong molasses",3.25
"India","70%",3,"molasses undertone, tangy",3.25
"Vietnam","70%",3,"molasses, raisins, astringent",3.5
"Dominican Republic","70%",3,"sticky, few grits, mild fruit,sour",3
"Dominican Republic","70%",3,"slow to develop, nutty",3
"Ghana","70%",3,"earthy, woody, vegetal",3.5
"Papua New Guinea","70%",3,"smokey, mushroom, woodsy",3.5
"Madagascar","70%",3,"subtle red berry, complex",3.75
"Venezuela","70%",3,"black tea",3.75
"Blend","70%",3,"complex, nut, dried fruit, earth",3.75
"Grenada","70%",3,"super temper,astringent, burn",2.75
"Bolivia","70%",3,"earthy, mild tannic, woody",3.5
"Venezuela","70%",3,"strawberry, green mint",3.5
"Dominican Republic","70%",3,"dried fruit, tart",3.75
"Blend","70%",3,"strawberry, cocoa, nutty",4
"Peru","64%",3,"complex,spice,caramel,cocoa",4
"Haiti","70%",3,"uneven, grassy, roasty",3.25
"Guatemala","70%",3,"sandy, earthy, tangy wine",3.5
"Blend","70%",3,"smoke,tobacco,black pepper",3.5
"Papua New Guinea","85%",3,"mild smoke, fruit, mild burnt",3.5
"U.S.A.","70%",3,"cranberries, cocoa",3.75
"Venezuela","70%",3,"intense, rich burnt caramel",3.75
"Blend","70%",3,"creamy, raisin, lemon",4
"Blend","70%",3,"creamy, complex, peanut",4
"Peru","70%",3,"creamy, medicinal, mild fruit",2.75
"Indonesia","70%",3,"creamy, smokey, some fruit",3.25
"Blend","70%",3,"grassy, dairy, mild fatty",3.25
"Venezuela","70%",3,"creamy, nutty, roasty",3.25
"Dominican Republic","77%",3,"smoke, burnt caramel, citrus",3.75
"Trinidad","70%",3,"creamy, brownie mix, roasty",3.75
"Venezuela","70%",3,"nutty, chocolate ice cream",3.75
"Blend","88%",3,"pronounced berry,mild smoke",4
"Venezuela","70%",3,"delicate, nutty, cocoa, dairy",4
"Blend","67%",3,"roasted nuts, burnt brownie",4
"Jamaica","70%",3,"floral, berry, clove",4
"Nicaragua","70%",3,"spicy, woodsy",3.25
"Blend","70%",3,"tart, mild sour",3.25
"Nicaragua","70%",3,"basic chocolate, accessible",3.5
"Ecuador","80%",3,"robust, nutty, brownie",3.5
"Peru","70%",3,"creamy, sour orange",3.75
"Vanuatu","70%",3,"creamy, smokey, rich cocoa",3.75
"Venezuela","70%",3,"roasted nuts, dried fruit",3.5
"Venezuela","75%",3,"balanced, nuts, strawberry",4
"Ecuador","70%",3,"nutty, banana, harsh ending",3.25
"Dominican Republic","62%",3,"creamy, sweet, deep choco",3.5
"Madagascar","70%",3,"robust dark tropical fruit",3.5
"Brazil","70%",3,"creamy, diluted, mild choco",3.5
"Nicaragua","70%",3,"evolves black pepper to citrus",3.75
"Blend","75%",3,"banana, nutty",3.75
"Vietnam","70%",3,"creamy, honey, blackberry",4
"Fiji","70%",3,"creamy, roasty, woody",3.25
"Colombia","70%",3,"creamy, honey, marshmallow",4
"Haiti","70%",3,"sweet edge, lemon, muted",3
"Madagascar","70%",3,"creamy, acidic, balanced",4
"Venezuela","70%",3,"nutty, cocoa",4
"Blend","62%",4,"sweet, cocoa, candy like",3.25
"Madagascar","70%",3,"red fruit, peanut butter, cocoa",3.5
"Venezuela","70%",3,"spice, sour malt, woody",3.5
"Vietnam","70%",3,"cinamon, nutmeg, hot cocoa",4
"Uganda","70%",3,"creamy,choco strawberry,vanilla",4
"Nicaragua","70%",2,"earthy, dried fruit, complex",3.25
"U.S.A.","70%",2,"intense, tannic, choco, earthy",3.5
"Dominican Republic","70%",2,"few grits, sweet, cocoa",3.25
"Ecuador","75%",2,"dry, floral, earthy",3.25
"Papua New Guinea","77%",2,"sandy, smokey, fruit, sour",3.25
"Madagascar","70%",2,"tart, sour, basic",3.5
"Venezuela","75%",2,"dry, earthy, roasty",3.5
"Tanzania","80%",2,"sticky, mild fruit, brownie",3.5
"Dominican Republic","70%",4,"oily, floral, dairy",3
"Dominican Republic","80%",4,"fatty, muted strawberry",3
"Dominican Republic","75%",4,"oily, floral",3.25
"Vanuatu","72%",3,"bready, sour milk, fatty",2.75
"Dominican Republic","70%",3,"spicy, chocolatey",3.5
"Ecuador","70%",3,"floral, sandy",3.75
"Madagascar","70%",3,"powdery, cherry, astringent",3.75
"Peru","70%",3,"floral, earthy, burnt rubber",2.75
"Ecuador","70%",3,"floral, astringent",3.5
"Dominican Republic","70%",3,"sandy, robust, grapes, malt",3.75
"Belize","70%",2,"strong roast, tart raspberry",3.25
"Madagascar","70%",2,"plum, roasty undertone, sour",3.5
"Uganda","70%",2,"dairy, cocoa, well balanced",3.5
"Tanzania","70%",2,"smooth, strawberry, cocoa",3.5
"Bolivia","70%",4,"fatty, mild fruit, off note",3
"Dominican Republic","84%",3,"gritty,intense coffee, metallic",2.25
"Dominican Republic","70%",3,"unrefined, sweet, mild coffee",3
"Madagascar","70%",2,"slow to develop, melon, earthy",3.25
"Belize","70%",2,"honey, cocoa, graham",3.5
"India","70%",2,"raisins, molasses, herbal tea",3.5
"Ecuador","70%",4,"coconut, mild vanilla",3
"Dominican Republic","70%",4,"coconut, cocoa, few grits",3
"Guatemala","70%",4,"dried fruit, coconut, few grits",3
"Nicaragua","70%",4,"brownie, few grits, sandy",3
"Madagascar","70%",4,"red fruit, coconut",3
"India","72%",4,"peanut butter,vanilla,artificial",3.25
"Brazil","68%",4,"creamy, vanilla, moldy",2.75
"Ecuador","84%",3,"floral, hints of fruit",3.5
"Ecuador","70%",3,"oily surface, floral, earthy",3.5
"Bolivia","70%",3,"fatty, rubber, off notes",2.5
"Philippines","65%",4,"vanilla, sweet",2.5
"Philippines","70%",4,"dry, sweet, vanilla(n)",2.5
"Philippines","75%",4,"bland, earthy",2.75
"Madagascar","67%",2,"molasses, sour, astringent",2.75
"Belize","78%",2,"intense, rich, dark berry",3.25
"Peru","61%",5,"sandy, sweet, vanilla",2.5
"Peru","71%",5,"powdery, vanilla, earthy",3
"Venezuela","70%",3,"sticy, nutty, roasty, off notes",2.75
"Venezuela","60%",3,"sticky, sweet, nutty, roasty",3
"Sri Lanka","70%",2,"ham, sour, intense",2.75
"Tanzania","74%",2,"fruit, burnt, harsh",2.75
"Peru","72%",2,"complex, black licorice, pungent",3.25
"Honduras","72%",3,"overly roasty, spicy",3
"Peru","72%",3,"earthy, roasty, hammy",3
"Uganda","77%",3,"melon, mocha",3.5
"Trinidad","80%",3,"herbal, tea, dried fruit",3.75
"Peru","70%",5,"pungent, molasses, sour",2.5
"Tanzania","75%",3,"fatty, sour, off notes",2.75
"Belize","70%",5,"buttery, cheesy",3
"Brazil","70%",5,"cardboard, cheesy",3
"Venezuela","75%",5,"acidic, cocoa, dried fruit",3.25
"Mexico","74%",3,"dried fig, earthy, dirty",3
"Peru","68%",3,"burnt black licorice, intense",3.25
"Papua New Guinea","73%",3,"savory lemon, ham",3.25
"Venezuela","70%",3,"rustic, sugar dominates",3
"Dominican Republic","70%",3,"rustic, large unground pieces",3.25
"Madagascar","70%",3,"rustic, bright fruit",3.25
"Peru","70%",3,"sweet, spicy",3.75
"Nicaragua","70%",3,"sour milk, hot cocoa",3.25
"Madagascar","70%",3,"light color, sandy, fruity",3.5
"Madagascar","70%",3,"dark color, sandy, fruity",3.5
"Venezuela","70%",3,"sandy, earthy, spice, nutty",3.5
"Cuba","70%",3,"sandy, banana",3.75
"Ecuador","70%",3,"sweet, brownie, sour",3.25
"Cuba","88%",3,"rustic, spicy, earthy",3.25
"Madagascar","70%",3,"sour orange, fatty",3.25
"Vietnam","70%",3,"smokey, mild citrus",3.25
"Brazil","70%",3,"rustic, earthy, tea",3.5
"Ecuador","70%",3,"coarse, spicy cinnamon",3.75
"Mexico","70%",4,"vanilla, fuel, earthy",2.5
"Costa Rica","70%",4,"licorice, dried fruit, burnt fuel",2.75
"Dominican Republic","70%",4,"oily, cardboard, sour",2.75
"Peru","70%",4,"vanilla, fatty, vegetal, mint",3
"Trinidad","77%",4,"intense, grassy, smokey",2.75
"Colombia","70%",5,"flat, smoke, marshmallow",3
"Papua New Guinea","62%",5,"creamy, smoke, ham",3.25
"Vietnam","60%",5,"vanilla, butter, caramel",3.25
"Vietnam","70%",3,"cocoa,sweet,fatty, cardboard",2.75
"Vietnam","75%",3,"intense cocoa, fatty, sticky",3
"Suriname","70%",2,"earthy, floral, dry",3.25
"Venezuela","75%",4,"vanilla, fatty",3
"Peru","75%",3,"blackberry, dirt, high roast",3.25
"Peru","75%",3,"fig",4
"Madagascar","75%",4,"berry, spices, smoke",3
"Nicaragua","72%",3,"nutty, off, roasty, fatty",3
"Mexico","70%",3,"nutty, fruit, sour, floral",3.25
"Haiti","67%",3,"earthy, fatty, gritty",2.75
"Dominican Republic","70%",3,"sandy, sour banana, sweet",3
"Mexico","75%",3,"rustic, sweet, earthy",2.75
"Bolivia","87%",3,"grainy, blueberries, bitter",3.25
"Belize","68%",3,"coarse, watering, sweet",3
"Ghana","70%",5,"gritty,sweet,swiss miss,vanilla",2.5
"Peru","70%",5,"tangy, off, musty, sour",2.5
"Peru","70%",5,"dry, musty, flat",2.5
"Madagascar","70%",5,"dry, red berry, off note",2.75
"Blend","60%",5,"tea, sweet, astringent",2.75
"Blend","68%",5,"nutty, candy-like",3
"Blend","99%",NA,"spicy, ginger, bitter",3.25
"Blend","62%",5,"strong vanilla, sweet, fatty",2
"Peru","70%",4,"perfume, chemical, soapy",2
"Madagascar","70%",4,"molasses, off notes",2.75
"Bolivia","70%",3,"candy,peanut butter,caramel",2.75
"Brazil","70%",3,"flat, cardboard, metallic",2.75
"Blend","70%",4,"molasses, caramel, spice",3
"Papua New Guinea","70%",4,"molasses, caramel, fruity",3
"Madagascar","70%",3,"sticky, caramel",3
"Venezuela","80%",4,"earthy, savory, hammy",3
"Ecuador","70%",4,"gritty, rum, molasses",3.25
"Ecuador","70%",3,"molasses, fruit, floral",3.25
"Mexico","70%",3,"molasses, caramel",3.25
"Bolivia","67%",3,"green apple, sweet",3.25
"Dominican Republic","70%",4,"molasses, caramel",3.5
"Brazil","70%",3,"honey, pepper, charcoal",3.5
"Ecuador","77%",2,"intense, mild coffee and rum",3.25
"Madagascar","67%",2,"sweet, rich, tannic, fruity",3.75
"Uganda","73%",2,"creamy, almond, butter",3.75
"Peru","70%",2,"spicy, black pepper, intense",2.75
"Ecuador","70%",2,"floral, earthy, bourbon",3.25
"Dominican Republic","70%",3,"spicy, black pepper, bold",3.5
"Belize","70%",2,"nutty, raspberry, metallic",3.75
"Madagascar","70%",2,"bright fruit, mild sour",3.75
"Guatemala","70%",3,"walnuts, cocoa, easy melt",3.75
"Haiti","72%",3,"harsh, tobacco",2.75
"Belize","77%",3,"berries, licorice, cocoa,bitter",3
"Bolivia","77%",3,"muted, roasted banana",3.25
"Peru","70%",3,"sandy, sweet, raisins",3
"Venezuela","91%",2,"dry, very bland, mild bitter",2
"Ivory Coast","75%",4,"dry, gritty, hint of fruit, sour",2.5
"Ghana","84%",4,"dry, slightly tart, bitter",3
"Blend","75%",3,"sandy, sweet, fruity",3
"Madagascar","65%",3,"sandy, sweet, blueberry",3.5
"Congo","65%",4,"sweet, vanilla, cocoa",3.25
"Peru","70%",2,"peanut butter, sour milk",3.25
"Ecuador","70%",2,"pure, bold, floral",3.5
"Colombia","70%",3,"floral, vegetal",3
"Colombia","70%",3,"spicy, marshmallow",3.25
"Belize","72%",3,"bright fruit, cashew",3.75
"Tanzania","71%",2,"bland, mild honey, sour",2.75
"Ecuador","75%",3,"strong floral, oily, bold, grassy",3.25
"Ecuador","81%",2,"waxy, mild fruit, floral",3.25
"Tobago","70%",NA,"smooth, wild berries",4
"Venezuela","72%",3,"peanut butter, soapy",2.75
"Dominican Republic","74%",3,"pronounced fruit, sour",3
"Bolivia","77%",3,"sandy, sweet",3
"Haiti","70%",3,"metallic, astringent",2.75
"Bolivia","70%",3,"spicy, cocoa, sweet",3
"Belize","70%",3,"honey, caramel",3.5
"Colombia","70%",3,"dull, chewy, sweet",2.75
"Ecuador","70%",2,"nutty, floral",3.5
"Dominican Republic","72%",2,"baked, roasty, coffee",3
